sr_no,date,startup_name,industry_vertical,sub_vertical,city,investors_name,investment_type,amount_usd
1982,22-02-2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,Delhi,Lightspeed India,Private Equity,3000000
1983,22-02-2016,First Eat,Consumer Internet,Healthy Food Delivery platform,Delhi,Undisclosed investor,Seed Funding,100000
1984,22-02-2016,SigTuple,Technology,Healthcare based Tech Solutions,Bangalore,"Sachin Bansal, Binny Bansal, Accel Partners & Others",Seed Funding,
1985,22-02-2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,4500000
1986,22-02-2016,Styledotme,Consumer Internet,Mobile Fashion App,Delhi,Indian Angel Network,Seed Funding,37000
1987,22-02-2016,NewsLaundry,Consumer Internet,Independent News Media Portal,Delhi,"Omidyar Network,\\xc2\\xa0 Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",Private Equity,
1988,23-02-2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,11000000
1989,23-02-2016,Aarav UAV,Technology,unmanned aerial vehicles creator,Kanpur,"StartupXseed Ventures, The Phoenix Fund and others",Seed Funding,
1990,24-02-2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bangalore,Yajnanarayana Kammaje,Seed Funding,160000
1991,24-02-2016,LoanZen,Consumer Internet,Peer to peer Lending marketplace,Bangalore,Tracxn Syndicate,Seed Funding,
1992,24-02-2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,10000000
